Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.992,1.0,0.99
2,0.839,0.9988888888888889,0.87
3,0.705,0.9966666666666667,0.77
4,0.747,0.8866666666666667,0.8
5,0.869,0.9977777777777778,0.87
6,0.949,0.9955555555555555,0.96
7,0.844,0.9688888888888889,0.87
8,0.892,0.9844444444444445,0.97
9,0.955,0.9955555555555555,0.99
10,0.881,0.9966666666666667,0.89
11,0.915,1.0,0.95
12,0.966,1.0,0.99
13,0.942,0.9866666666666667,0.89
14,0.879,1.0,0.82
15,1.0,1.0,1.0
16,0.426,0.6711111111111111,0.46
17,0.543,0.7688888888888888,0.64
18,0.842,0.9166666666666666,0.85
19,0.095,0.33,0.1
20,0.997,1.0,1.0
