Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,1.0,1.0,1.0
2,0.995,0.9978888888888889,0.99
3,0.829,0.8755555555555555,0.824
4,0.998,0.9978888888888889,0.994
5,0.991,0.998,0.986
6,0.998,0.9998888888888889,0.998
7,0.955,0.9727777777777777,0.96
8,0.99,0.9906666666666667,0.977
9,0.999,0.9997777777777778,1.0
10,0.991,0.9976666666666667,0.992
11,1.0,0.9998888888888889,1.0
12,0.999,0.9993333333333333,0.997
13,1.0,1.0,1.0
14,0.992,1.0,1.0
15,1.0,1.0,1.0
16,0.468,0.49933333333333335,0.449
17,0.603,0.6583333333333333,0.619
18,0.898,0.9346666666666666,0.935
19,0.261,0.2823333333333333,0.254
20,1.0,1.0,1.0
